학력,학과,학점,어학,,,,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,13,842, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.43/4.5, 토익 610, 자격증 1개, 인턴 2회, 수상 3회, 자원봉사 1회,16,463, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5,0, 해외경험 1회, 인턴 1회,10,25, 읽음,,,,,,,
대학원, 통신공학과, 학점 3.9/4.5, 토익 435, 자격증 6개, 동아리 1회, 교내활동 1회,19,493, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,47,415, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 오픽 M2, 자격증 1개, 인턴 1회,5,675, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 790, 토스 Level6, 자격증 1개, 수상 1회, 자원봉사 1회,3,281, 읽음,,,,,
수도권4년, 응용통계학과, 학점 3.4/4.5, 토익 935,5,679, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 780, 토스 Level4,3,37, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,6,852, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.78/4.5, 토스 Level5, 자격증 2개, 수상 3회, 동아리 1회,28,771, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,7,359, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 토스 Level6, 자격증 2개,6,525, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,9,344, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,10,920, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,38,897, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,4,269, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,20,569, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.5/4.5, 오픽 IL, 자격증 2개, 인턴 1회,2,973, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,3,879, 읽음,,,,,,,,
대졸4년, 인문학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 인턴 1회,15,98, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 780, 토스 Level4,3,732, 읽음,,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,16,658, 읽음,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,27,694, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,11,935, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 820, 토스 Level6, 자격증 1개,3,191, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,11,221, 읽음,,,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 865, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,19,747, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 780, 토스 Level4,2,902, 읽음,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,11,730, 읽음,,,,,,
대학원,컴퓨터학부, 학점 3.47/4.5, 오픽 IL, 인턴 1회, 수상 1회,21,948, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5, 토익 810, 토스 Level5, 자격증 2개, 인턴 1회, 수상 1회,5,577, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.3/4.5, 토익 930, 오픽 AL, 해외경험 2회, 인턴 1회, 자원봉사 1회,4,842, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 자격증 1개, 인턴 1회,5,21, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,8,973, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 4.44/4.5, 토익 765, 오픽 IM1, 자격증 2개, 수상 7회, 자원봉사 3회,18,785, 읽음,,,,,
초대졸,컴퓨터학부, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 5개,15,150, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845, 토스 Level6, 자격증 5개, 해외경험 1회, 인턴 1회, 수상 3회,11,761, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.32/4.5, 토익 780, 자격증 2개, 인턴 1회,10,387, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 오픽 IH, 교내활동 1회,8,923, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.7/4.5, 토익 820, 토스 Level6, 자격증 1개, 인턴 1회,8,778, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,3,759, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,15,544, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,25,51, 읽음,,,,,
수도권4년,전기전자, 학점 3.9/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 2회, 동아리 2회,71,965, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 오픽 IH, 자격증 3개, 인턴 1회,21,832, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 800,12,691, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.3/4.5, 토익 930, 오픽 AL, 해외경험 2회, 인턴 1회, 자원봉사 1회,4,750, 읽음,,,,,
수도권4년,전기전자, 학점 3.5/4.5, 토익 900, 토스 Level6, 자격증 1개, 인턴 1회, 수상 1회, 동아리 1회,16,979, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,65,552, 읽음,,,,,
초대졸, 일본어과, 학점 2.61/4.5,0,20,397, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5,0, 인턴 1회,8,265, 읽음,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,3,814, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.8/4.5, 토익 910, 오픽 IH, 인턴 1회, 수상 1회, 자원봉사 1회,5,365, 읽음,,,,,
수도권4년, 사이버보안학과, 학점 4.18/4.5, 토익 895, 자격증 1개, 인턴 1회,54,838, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 3.47/4.5, 오픽 IL, 인턴 1회, 수상 1회,32,404, 읽음,,,,,,,
대졸4년, 정보통신공학, 학점 3.66/4.5, 토익 845, 토스 Level6, 자격증 2개, 수상 1회,9,358, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 775, 오픽 IL, 자격증 3개, 자원봉사 1회,8,19, 읽음,,,,,,
초대졸,컴퓨터학부, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 5개,7,478, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,12,963, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,12,511, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,8,824, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.82/4.5, 토익 735, 자격증 2개, 수상 1회,33,162, 읽음,,,,,,,
해외대학, 소프트웨어공학, 학점 3.6/4.5,0,21,341, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 오픽 IM2, 자격증 4개, 해외경험 1회, 수상 2회, 자원봉사 2회,147,342, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.89/4.5, 토익 890, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 2회, 수상 2회,26,31, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 825, 오픽 IH, 자격증 1개, 인턴 1회,2,482, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 760, 자격증 2개, 인턴 1회, 수상 2회,69,947, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,10,727, 읽음,,,,,,,
수도권4년, 공간정보공학과, 학점 3.62/4.5,0,38,864, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,2,742, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,3,63, 읽음,,,,,,,
초대졸, IPTV서비스과, 학점 3.64/4.3,0, 사회활동 1회,10,525, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.13/4.5,0, 인턴 1회, 수상 3회,83,302, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.5/4.5, 토익 775, 자격증 1개, 해외경험 1회,10,309, 읽음,,,,,,,
고졸, 자격증 4개, 수상 3회,0, 교내활동 1회, 사회활동 1회,16,912, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 765, 토스 Level5, 자격증 1개, 인턴 1회,7,490, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,7,161, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 토스 Level6, 수상 1회,6,20, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.67/4.5, 토익 990, 토스 Level8, 오픽 AL, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 2회,27,498, 읽음,,
수도권4년,컴퓨터학부, 학점 3.67/4.5, 토익 700, 토스 Level6, 자격증 1개, 자원봉사 3회,41,389, 읽음,,,,,,
수도권4년,전기전자, 학점 3.9/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 2회, 동아리 2회,48,158, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 자격증 4개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,5,942, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,24,548, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.43/4.5, 토익 610, 자격증 1개, 인턴 2회, 수상 3회, 자원봉사 1회,21,757, 읽음,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,58,983, 읽음,,,,,,
수도권4년,산업공학, 학점 3.5/4.5, 토익 740, 토스 Level6, 자격증 1개, 인턴 1회,2,891, 읽음,,,,,,
지방4년, 물류시스템공학과, 학점 3.8/4.5, 토익 925, 토스 Level6, 오픽 IH, 자격증 4개, 해외경험 1회,7,231, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,23,680, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 630, 자격증 3개, 수상 1회, 자원봉사 3회,6,915, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,3,627, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 735, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 자원봉사 1회,4,412, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5, 토익 765, 오픽 IL, 자격증 1개, 수상 1회,2,767, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개,10,80, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 해외경험 1회, 수상 2회, 자원봉사 1회,28,799, 읽음,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 780, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,22,221, 읽음,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 780, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,15,228, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,7,655, 읽음,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,7,645, 읽음,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,3,303, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.63/4.5, 토익 900, 자격증 2개, 인턴 1회, 자원봉사 1회,9,736, 읽음,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,33,570, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.2/4.5, 토익 755, 자격증 4개, 인턴 2회, 수상 1회,27,409, 읽음,,,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,16,372, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,22,952, 읽음,,,,,
수도권4년,전기전자, 학점 4.23/4.5, 오픽 IM2, 자격증 2개, 수상 2회, 동아리 1회, 교내활동 1회,31,594, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,19,494, 읽음,,,,,,,
수도권4년, 소프트웨어공학, 학점 3.3/4.5,0, 자원봉사 1회,5,329, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5, 토스 Level5, 인턴 1회, 수상 3회, 자원봉사 2회,2,919, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.99/4.5,0, 수상 1회, 동아리 1회, 교내활동 1회,26,253, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.5/4.5, 오픽 IL, 자격증 2개, 인턴 1회,4,401, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,17,177, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.17/4.5, 토익 905, 오픽 IH, 제2외국어 1개, 자격증 2개, 해외경험 14회, 인턴 1회, 동아리 4회, 교내활동 1회, 사회활동 1회,16,782, 읽음,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,4,126, 읽음,,,,,,
지방4년,전기전자, 학점 3.3/4.5, 토익 855, 오픽 IM2, 자격증 1개,23,220, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,6,316, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0,14,213, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5,0, 인턴 1회, 수상 3회,8,365, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 4.17/4.5, 토익 730, 토스 Level6, 제2외국어 1개, 자격증 4개,24,646, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5,0,2,996, 읽음,,,,,,,,,
수도권4년,산업공학, 학점 3.68/4.5, 토익 810, 토스 Level6, 자격증 3개, 해외경험 1회, 인턴 2회, 수상 1회, 교내활동 1회, 사회활동 1회, 자원봉사 2회,8,850, 읽음,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 오픽 M2, 자격증 1개, 인턴 1회,15,430, 읽음,,,,,,,
지방4년, 정보통신공학, 학점 3.5/4.5,0,467, 읽음,,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.52/4.5, 토익 880, 오픽 IM2, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회,23,744, 읽음,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,4,782, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 780, 토스 Level4,2,829, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,31,388, 읽음,,,,,
대학원,컴퓨터학부, 학점 4.44/4.5, 토익 765, 오픽 IM1, 자격증 2개, 수상 7회, 자원봉사 3회,13,685, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.85/4.5, 토익 770, 토스 Level5, 자격증 5개, 수상 2회,15,453, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 825, 오픽 IH, 자격증 1개, 인턴 1회,3,307, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,13,169, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0, 해외경험 3회, 인턴 1회,3,191, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 4.44/4.5, 토익 765, 오픽 IM1, 자격증 2개, 수상 7회, 자원봉사 3회,31,472, 읽음,,,,,
수도권4년, 경영학과_경영전공, 학점 3.85/4.5, 오픽 IH, 해외경험 1회, 인턴 1회, 수상 1회,163,668, 읽음,,,,,,
수도권4년,전기전자, 학점 3.2/4.5,0,612, 읽음,,,,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.3/4.5,0, 자원봉사 1회,15,456, 읽음,,,,,,,,
수도권4년, 수학과, 학점 3.46/4.5, 토익 890, 토스 Level5, 자격증 2개,27,881, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.7/4.5, 토익 840, 토스 Level7, 오픽 IH, 해외경험 1회, 인턴 1회, 수상 1회,3,702, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845,7,509, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5,0, 자원봉사 2회,9,376, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 토스 Level6, 수상 1회,10,754, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.8/4.5, 토익 600,3,879, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,7,104, 읽음,,,,,,
지방4년,전기전자, 학점 3.7/4.5, 토익 735, 토스 Level6,6,107, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 오픽 M2, 인턴 1회,6,956, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 805, 토스 Level5, 자격증 1개,10,134, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,6,8, 읽음,,,,,,,
수도권4년, 항공재료공학과, 학점 3.15/4.5, 토익 890, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,37,349, 읽음,,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회,11,102, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 800, 토스 Level6,4,529, 읽음,,,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,12,230, 읽음,,,,,
수도권4년, 융합전자공학부, 학점 3.4/4.5, 토익 925, 자격증 1개, 인턴 1회,6,613, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.33/4.3, 토익 950, 오픽 AL, 인턴 2회, 수상 3회, 동아리 1회,151,678, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,32,609, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,16,838, 읽음,,,,,
수도권4년, 항공재료공학과, 학점 3.15/4.5, 토익 890, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,9,274, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.58/4.5, 토익 945, 토스 AL, 자격증 2개, 인턴 2회, 수상 1회, 사회활동 1회,8,296, 읽음,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5, 토익 845, 수상 1회,10,102, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 820, 토스 Level6, 자격증 1개,10,525, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,13,733, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5,0,17,639, 읽음,,,,,,,,,
