학력,학과,학점,어학,,,,,,,,,,,,
수도권4년, 문화기획, 학점 3.97/4.5,0,395, 읽음,,,,,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,11,711, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.56/4.5, 토익 805, 인턴 1회,126,607, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 토스 Level6, 수상 1회,34,363, 읽음,,,,,,,
수도권4년,전기전자, 학점 2.74/4.5, 토익 620, 토스 Level3, 자격증 4개,18,140, 읽음,,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,16,219, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.68/4.5, 토익 845, 토스 Level6, 자격증 2개, 수상 1회,13,503, 읽음,,,,,,
수도권4년, 응용통계학과, 학점 3.64/4.5, 토스 Level6, 자격증 4개, 인턴 1회, 수상 2회, 사회활동 2회,14,399, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.58/4.5, 토익 945, 토스 AL, 자격증 2개, 인턴 2회, 수상 1회, 사회활동 1회,12,322, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 820, 토스 Level6, 자격증 1개,5,580, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,8,569, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 오픽 IM2, 자격증 3개, 해외경험 1회, 수상 2회,8,812, 읽음,,,,,,
해외대학, SoftwareEngineering, 학점 3.8/4.5,0, 해외경험 1회, 수상 1회, 자원봉사 1회,12,159, 읽음,,,,,,
수도권4년,전기전자, 학점 3.32/4.5, 토스 Level6, 수상 1회, 동아리 2회,40,153, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 3.47/4.5, 오픽 IL, 인턴 1회, 수상 1회,17,492, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 4/4.5,0,11,290, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.92/4.5, 토익 785, 토스 Level6, 자격증 3개, 해외경험 2회, 수상 1회, 동아리 1회,7,558, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,20,247, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 오픽 IH, 교내활동 1회,11,346, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 790, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,2,373, 읽음,,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회,5,934, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.75/4.5, 오픽 IM2,5,749, 읽음,,,,,,,,,
대학원,전기전자, 학점 3.85/4.5, 토스 Level8, 해외경험 1회, 수상 1회,21,110, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.67/4.5, 토익 990, 토스 Level8, 오픽 AL, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 2회,29,812, 읽음,,
수도권4년, 정보통신공학, 학점 3.4/4.5,0,206, 읽음,,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5, 토익 855, 자격증 1개,4,117, 읽음,,,,,,,,
지방4년, 정보통신공학, 학점 3.1/4.5, 토익 680, 오픽 IL, 자격증 2개,12,699, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,4,356, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.33/4.3, 토익 950, 오픽 AL, 인턴 2회, 수상 3회, 동아리 1회,15,667, 읽음,,,,,
수도권4년, 응용통계학과, 학점 3.67/4.5, 토익 990, 토스 Level8, 오픽 AL, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 2회,101,425, 읽음,,
지방4년, 제어계측공학과, 학점 4/4.5, 토익 840, 토스 Level6, 자격증 3개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 1회, 교내활동 1회,30,923, 읽음,,
수도권4년,컴퓨터학부, 학점 3.13/4.5,0, 인턴 1회, 수상 3회,5,368, 읽음,,,,,,,
지방4년,전기전자, 학점 3.3/4.5, 토익 855, 오픽 IM2, 자격증 1개,38,328, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,28,314, 읽음,,,,,,
수도권4년,전기전자, 학점 3.43/4.5, 토익 810, 토스 Level6, 자격증 3개,4,619, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,21,993, 읽음,,,,,
지방4년, 정보통신공학, 학점 3.2/4.5, 토익 715, 자격증 2개, 인턴 1회, 자원봉사 2회,10,618, 읽음,,,,,,
지방4년, 정보통신공학, 학점 3.2/4.5, 토익 715, 자격증 4개, 인턴 1회, 자원봉사 2회,11,502, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,5,297, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.85/4.5, 토익 770, 토스 Level5, 자격증 5개, 수상 2회,13,807, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.9/4.3, 오픽 IL,20,855, 읽음,,,,,,,,,
수도권4년, 멀티미디어과학과, 학점 4.1/4.5, 토스 Level6, 자격증 1개,3,174, 읽음,,,,,,,,
지방4년,산업공학, 학점 3.1/4.5, 토익 900, 토스 Level6,17,725, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 토스 Level6, 자격증 2개,5,317, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,15,706, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5, 토익 810, 토스 Level5, 자격증 2개, 인턴 1회, 수상 1회,7,272, 읽음,,,,,
수도권4년,전기전자, 학점 3.5/4.5, 토익 775, 자격증 1개, 해외경험 1회,1,852, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 4.2/4.5,0,16,426, 읽음,,,,,,,,,
수도권4년, 영어영문학, 학점 3.92/4.5, 토익 965, 오픽 IH, 자격증 1개, 해외경험 1회, 동아리 1회, 자원봉사 1회,33,395, 읽음,,,,
수도권4년, 경제학과, 학점 3.44/4.3, 토익 850, 자격증 1개,17,593, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5,0, 자원봉사 2회,6,42, 읽음,,,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,11,779, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 2개,9,267, 읽음,,,,,,,
고졸, 자격증 4개, 수상 5회,0,62,882, 읽음,,,,,,,,,
대학원,컴퓨터학부, 학점 4.44/4.5, 토익 765, 오픽 IM1, 자격증 2개, 수상 7회, 자원봉사 3회,36,872, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 5개,9,36, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845,7,589, 읽음,,,,,,,,,
수도권4년, 미디어학, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 1개, 자원봉사 2회,14,4, 읽음,,,,,,
대학원,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,105,693, 읽음,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,13,919, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 780, 토스 Level6, 자격증 2개, 해외경험 1회,6,106, 읽음,,,,,,
대졸4년, 인문학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 인턴 1회,5,57, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 815, 토스 Level6, 자격증 3개,5,55, 읽음,,,,,,,
지방4년,전기전자, 학점 3.5/4.5, 토익 795, 자격증 1개, 자원봉사 2회,4,463, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.2/4.5,0, 인턴 2회, 수상 2회,15,270, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.83/4.5, 토익 945, 오픽 IM1, 자격증 3개, 수상 3회, 동아리 1회, 교내활동 1회,11,770, 읽음,,,,
지방4년, 정보통신공학, 학점 3.53/4.5,0,17,158, 읽음,,,,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,12,913, 읽음,,,,,
지방4년,컴퓨터학부, 학점 2.5/4.5,0,13,185, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,5,934, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.67/4.5, 토익 700, 토스 Level6, 자격증 1개, 자원봉사 3회,13,396, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5,0,3,262, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.91/4.5, 토익 770, 토스 Level5, 자격증 5개, 수상 2회,15,865, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,7,381, 읽음,,,,
수도권4년, 사이버보안학과, 학점 4.18/4.5, 토익 895, 자격증 1개, 인턴 1회,37,659, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.83/4.5, 토익 945, 오픽 IM1, 자격증 3개, 수상 3회, 동아리 1회, 교내활동 1회,33,38, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토스 Level5,3,478, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.43/4.5, 토익 610, 자격증 1개, 인턴 2회, 수상 3회, 자원봉사 1회,27,647, 읽음,,,,,
대학원,전기전자, 학점 3.31/4.5,0, 동아리 1회, 교내활동 1회, 자원봉사 1회,14,971, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,4,853, 읽음,,,,,,
대졸4년, 응용통계학과, 학점 3.78/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 1회, 사회활동 1회,28,556, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845, 토스 Level6, 자격증 5개, 해외경험 1회, 인턴 1회, 수상 3회,8,317, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 885, 자격증 1개, 인턴 1회,19,270, 읽음,,,,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회,25,319, 읽음,,,,,,,,
지방4년, 노인복지보건학과, 학점 3.8/4.5, 토익 755, 자격증 5개,10,186, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5, 토익 845, 수상 1회,29,42, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845, 토스 Level6, 자격증 5개, 해외경험 1회, 인턴 1회, 수상 3회,10,425, 읽음,,,,
수도권4년, 응용통계, 학점 3.41/4.3, 토익 935, 토스 Level6, 인턴 2회,15,517, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.4/4.5, 토익 890, 해외경험 1회, 인턴 1회,5,212, 읽음,,,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 865, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,15,291, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,4,699, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.17/4.5, 토익 785, 토스 Level6, 제2외국어 2개, 자격증 4개,26,677, 읽음,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,28,720, 읽음,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,5,581, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 790, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,3,705, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 715, 자격증 1개, 인턴 1회, 수상 1회, 자원봉사 1회,7,181, 읽음,,,,,
지방4년, 멀티미디어학과, 학점 4/4.5,0, 수상 1회, 자원봉사 1회,10,787, 읽음,,,,,,,
대학원,전기전자, 학점 3.31/4.5,0, 동아리 1회, 교내활동 1회, 자원봉사 1회,18,578, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 4.07/4.5, 토익 845, 오픽 IH, 인턴 1회, 교내활동 1회,15,873, 읽음,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,10,713, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,5,918, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5, 토익 890, 토스 Level7, 자격증 2개, 해외경험 1회,11,89, 읽음,,,,,,
대학원,컴퓨터학부, 학점 3.8/4.5,0,705, 읽음,,,,,,,,,,
대학원,전기전자, 학점 3.31/4.5,0, 동아리 1회, 교내활동 1회, 자원봉사 1회,21,726, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 토스 Level5, 자격증 1개, 인턴 1회,23,69, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.15/4.5,0, 수상 1회,5,114, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.83/4.5, 토익 945, 오픽 IM1, 자격증 3개, 수상 3회, 동아리 1회, 교내활동 1회,15,618, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,43,806, 읽음,,,,,,,,
수도권4년,전기전자, 학점 3.32/4.5,0, 동아리 2회,26,946, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.68/4.5, 토익 845, 토스 Level6, 자격증 2개, 수상 1회,8,595, 읽음,,,,,,
수도권4년, 경영학과_경영전공, 학점 3.85/4.5, 오픽 IH, 해외경험 1회, 인턴 1회, 수상 1회, 교내활동 1회,65,341, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.28/4.5, 오픽 IM2, 자격증 1개, 해외경험 1회,5,233, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.3/4.5, 토스 Level6, 자격증 1개,23,289, 읽음,,,,,,,,
수도권4년,전기전자, 학점 3.4/4.5, 토익 800, 인턴 1회,4,106, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 930, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,19,934, 읽음,,,
수도권4년,전기전자, 학점 3.32/4.5, 토스 Level6,24,237, 읽음,,,,,,,,,
수도권4년, 디지털정보공학과, 학점 3.7/4.5, 토익 820, 자격증 1개,4,527, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 자격증 1개, 인턴 1회,2,162, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 교내활동 1회,35,484, 읽음,,,,,,,,
대학원, 통신공학과, 학점 3.9/4.5, 토익 435, 자격증 6개, 동아리 1회, 교내활동 1회,20,586, 읽음,,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 780, 토스 Level5, 자격증 1개, 인턴 1회,4,188, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 토스 Level6, 수상 1회,6,734, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,6,126, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.68/4.5, 토익 845, 토스 Level6, 자격증 2개, 수상 1회,4,457, 읽음,,,,,,
수도권4년,전기전자, 학점 3.32/4.5, 토스 Level6, 수상 1회, 동아리 2회,23,742, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 765, 토스 Level5, 자격증 1개, 인턴 1회,14,290, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 790, 토스 Level6, 자격증 3개, 인턴 1회, 수상 1회,2,591, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.14/4.5, 토익 695, 자격증 1개, 수상 2회, 자원봉사 1회,8,512, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.47/4.5, 오픽 IL, 인턴 1회, 수상 1회,15,874, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.24/4.5, 오픽 IM2, 자격증 4개, 인턴 1회, 수상 3회,4,382, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,63,542, 읽음,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,6,77, 읽음,,,,,
대졸4년,컴퓨터학부, 학점 4.2/4.5,0,26,525, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 660, 자격증 1개, 인턴 1회,11,705, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 오픽 M2, 자격증 1개, 인턴 1회,14,969, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 오픽 IM2, 자격증 1개, 수상 1회, 동아리 1회, 교내활동 1회,11,772, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.5/4.5,0,855, 읽음,,,,,,,,,,
지방4년, 정보통신공학, 학점 3.2/4.5, 토익 715, 자격증 4개, 인턴 1회, 자원봉사 2회,5,146, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,18,680, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,20,451, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845, 토스 Level6, 자격증 2개, 해외경험 1회, 인턴 1회, 수상 3회,18,372, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 550,6,871, 읽음,,,,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,6,996, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5, 토익 810, 토스 Level5, 자격증 2개, 인턴 1회, 수상 1회,8,332, 읽음,,,,,
초대졸,컴퓨터학부, 학점 4.1/4.5,0, 인턴 2회, 자원봉사 2회,7,129, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5,0, 해외경험 1회, 인턴 1회,9,929, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.07/4.5, 토익 845, 교내활동 1회,30,698, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,7,781, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,4,27, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,3,174, 읽음,,,,,,
수도권4년, 경영정보, 학점 3.5/4.5, 토익 730, 토스 Level6, 자격증 1개, 인턴 1회, 자원봉사 1회,15,392, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 토스 Level5, 자격증 1개,17,562, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,15,185, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.4/4.5, 토익 785, 자격증 2개,9,209, 읽음,,,,,,,,
대학원,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,16,588, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 자격증 1개, 인턴 1회,7,430, 읽음,,,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 865, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,11,717, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,27,154, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.14/4.5, 토익 695, 자격증 1개, 수상 2회, 자원봉사 1회,17,208, 읽음,,,,,,
수도권4년,전기전자, 학점 3.9/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 2회, 동아리 2회,16,899, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.61/4.5, 토익 720, 토스 Level5, 자격증 1개,18,241, 읽음,,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,10,19, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0,344, 읽음,,,,,,,,,,
수도권4년,산업공학, 학점 4.14/4.5, 토스 Level6, 동아리 1회,28,617, 읽음,,,,,,,,
수도권4년, 응용통계학과, 학점 3.6/4.5, 토익 935, 토스 Level6,4,261, 읽음,,,,,,,,
