학력,학과,학점,어학,,,,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.7/4.5,0, 수상 1회, 자원봉사 1회,15,385, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845,10,299, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.7/4.5, 토익 710, 토스 Level5, 자격증 2개, 인턴 1회, 수상 2회,4,224, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5,0,13,148, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 840,14,874, 읽음,,,,,,,,,
초대졸,컴퓨터학부, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 5개,5,90, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.6/4.5, 토익 845, 수상 1회,12,588, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.2/4.5,0, 인턴 2회, 수상 2회,5,937, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,9,435, 읽음,,,,,,,
지방4년, 정보통신공학, 학점 3.2/4.5, 토익 715, 자격증 4개, 인턴 1회, 자원봉사 2회,3,313, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.31/4.5, 토익 725, 자격증 1개, 인턴 1회, 수상 1회, 교내활동 1회, 자원봉사 1회,12,967, 읽음,,,,
대학원,컴퓨터학부, 학점 3.57/4.5,0,17,190, 읽음,,,,,,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,6,526, 읽음,,,,
수도권4년, 경영학과_경영전공, 학점 3.85/4.5, 오픽 IH, 해외경험 1회, 인턴 1회, 수상 1회,28,647, 읽음,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,5,968, 읽음,,,,,
대졸4년, 인문학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 인턴 1회,9,578, 읽음,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,4,132, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 805, 토스 Level5, 자격증 1개,9,367, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.86/4.3, 오픽 IL,25,342, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.85/4.5, 토익 770, 토스 Level5, 자격증 5개, 인턴 1회, 수상 2회,28,790, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.17/4.5, 토익 730, 토스 Level6, 제2외국어 1개, 자격증 4개,10,75, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.85/4.5, 토익 770, 토스 Level5, 자격증 5개, 수상 2회,17,912, 읽음,,,,,,
수도권4년, 영어영문학, 학점 3.92/4.5, 토익 965, 오픽 IH, 자격증 1개, 해외경험 1회, 동아리 1회, 자원봉사 1회,25,457, 읽음,,,,
지방4년, 멀티미디어학과, 학점 4/4.5,0,14,613, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,13,636, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,12,644, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,10,197, 읽음,,,,,
수도권4년, IT, 학점 3.89/4.5, 토익 890, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 2회, 수상 2회,7,794, 읽음,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회,4,419, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개,14,224, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.31/4.5, 토익 725, 자격증 1개, 인턴 1회, 수상 1회, 교내활동 1회, 자원봉사 1회,8,66, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,8,737, 읽음,,,,
수도권4년, 융합공학부, 학점 3.04/4.5, 토익 945, 자격증 2개, 인턴 1회, 수상 2회, 동아리 1회, 사회활동 3회,70,385, 읽음,,,,
지방4년, 정보통신공학, 학점 3.2/4.5, 토익 715, 자격증 4개, 인턴 1회, 자원봉사 2회,7,358, 읽음,,,,,,
수도권4년, 미디어학, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 3개, 자원봉사 2회,8,248, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,6,50, 읽음,,,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회,9,848, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5,0, 인턴 1회, 수상 3회,5,859, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.47/4.5, 오픽 IL, 인턴 1회, 수상 1회,11,388, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,24,74, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,83,791, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.92/4.5, 토익 700, 오픽 IM1, 자격증 1개, 해외경험 1회, 인턴 1회, 자원봉사 1회,9,710, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,15,780, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 735, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 자원봉사 1회,7,153, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.67/4.5, 토익 700, 토스 Level6, 자격증 1개, 자원봉사 3회,23,142, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 825, 오픽 IH, 자격증 1개, 인턴 1회,15,145, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토스 Level5,3,79, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.7/4.5, 토익 710, 토스 Level5, 자격증 3개, 인턴 1회, 수상 2회,14,660, 읽음,,,,,
수도권4년, 멀티미디어과학과, 학점 4.1/4.5, 토스 Level6, 자격증 1개,2,173, 읽음,,,,,,,,
수도권4년, 사이버보안학과, 학점 4.18/4.5, 토익 895, 자격증 1개, 인턴 1회,23,219, 읽음,,,,,,,
수도권4년, 응용통계학과, 학점 3.67/4.5, 토익 990, 토스 Level8, 오픽 AL, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 동아리 2회,84,716, 읽음,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,15,692, 읽음,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,17,808, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.86/4.3, 오픽 IL,7,774, 읽음,,,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,8,738, 읽음,,,,,,,
대학원,산업공학, 학점 4.24/4.5, 오픽 IM1, 자격증 2개, 동아리 3회, 교내활동 3회,42,974, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,9,507, 읽음,,,,,,,
대학원, 국제의료경영학과, 학점 2.71/4.5, 토익 715, 오픽 IM2, 자격증 2개, 해외경험 1회, 인턴 2회, 수상 3회, 동아리 1회, 교내활동 1회, 사회활동 12회, 자원봉사 2회,8,418, 읽음
수도권4년, 정보통신공학, 학점 3.6/4.5,0,5,828, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 805, 토스 Level5, 자격증 1개,4,423, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 오픽 IH, 교내활동 1회,16,382, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,10,83, 읽음,,,,
수도권4년, 정보통신공학, 학점 3/4.5, 토스 Level6, 자격증 1개,4,547, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 토스 Level5, 자격증 1개, 인턴 1회,15,250, 읽음,,,,,,
수도권4년,산업공학, 학점 3.81/4.5, 오픽 IM2, 자격증 2개, 인턴 2회, 수상 2회, 동아리 2회, 교내활동 1회,41,761, 읽음,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,11,113, 읽음,,,,,,
수도권4년, 경영정보, 학점 3.5/4.5, 토익 730, 토스 Level6, 자격증 1개, 인턴 1회, 자원봉사 1회,11,719, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 610, 오픽 M1, 자격증 1개,12,986, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,11,441, 읽음,,,,,,,
대학원, 통신공학과, 학점 3.9/4.5, 토익 435, 자격증 6개, 동아리 1회, 교내활동 1회,10,607, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.85/4.5, 토익 770, 토스 Level5, 자격증 5개, 수상 2회,19,155, 읽음,,,,,,
수도권4년,전기전자, 학점 3.8/4.5, 토익 950, 오픽 AL, 자격증 1개, 해외경험 1회,10,748, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845, 토스 Level6, 자격증 5개, 해외경험 1회, 인턴 1회, 수상 3회,8,423, 읽음,,,,
수도권4년, 영문, 학점 3.5/4.5, 토익 910, 인턴 1회, 수상 2회,5,968, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.3/4.5, 오픽 IL,3,435, 읽음,,,,,,,,,
수도권4년,산업공학, 학점 3.8/4.5, 토익 915, 토스 Level6, 자격증 1개, 인턴 1회,5,108, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.7/4.5,0, 수상 1회, 자원봉사 1회,3,2, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,30,564, 읽음,,,,,,,,
대졸4년, 인문학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 인턴 1회,19,240, 읽음,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,24,903, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.07/4.5, 토익 845, 교내활동 1회,13,770, 읽음,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,7,918, 읽음,,,,,,
수도권4년, 문화기획, 학점 3.97/4.5,0,552, 읽음,,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5,0,2,966, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 815, 토스 Level6, 자격증 3개,6,35, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 775, 자격증 1개, 자원봉사 1회,5,116, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,32,162, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.43/4.5, 토익 810, 토스 Level6, 자격증 3개,9,635, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.32/4.5, 토스 Level6, 수상 1회, 동아리 2회,25,31, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 815, 토스 Level6, 자격증 3개,2,202, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.5/4.5,0,494, 읽음,,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5,0, 인턴 1회, 수상 3회,2,715, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 735, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 자원봉사 1회,2,101, 읽음,,,,
수도권4년, 정보통신공학, 학점 3.68/4.5, 토익 845, 토스 Level6, 자격증 2개, 수상 1회,8,71, 읽음,,,,,,
지방4년, 정보통신공학, 학점 3.1/4.5, 토익 680, 오픽 IL, 자격증 2개,40,962, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,4,544, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 765, 토스 Level5, 자격증 1개, 인턴 1회,14,773, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 교내활동 1회,6,955, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5,0, 해외경험 1회, 인턴 1회,2,870, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5,0, 수상 1회,7,369, 읽음,,,,,,,,
수도권4년, 수학과, 학점 3.46/4.5, 토익 890, 토스 Level5, 자격증 2개,47,872, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,15,315, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.92/4.5, 토익 700, 오픽 IM1, 자격증 1개, 해외경험 1회, 인턴 1회, 자원봉사 1회,26,441, 읽음,,,,
수도권4년, 정보통신공학, 학점 3.8/4.5, 토익 910, 오픽 IH, 인턴 1회, 수상 1회, 자원봉사 1회,2,842, 읽음,,,,,
수도권4년, 멀티미디어과학과, 학점 4.1/4.5, 토스 Level6, 자격증 1개,16,84, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 845,9,636, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 토스 Level5, 자격증 1개, 인턴 1회,2,755, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.75/4.5, 오픽 IM2,122,352, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5,0, 인턴 1회, 수상 3회,21,863, 읽음,,,,,,,
지방4년, 물류시스템공학과, 학점 3.8/4.5, 토익 925, 토스 Level6, 오픽 IH, 자격증 4개, 해외경험 1회,4,896, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 오픽 IM2, 자격증 4개, 해외경험 1회, 수상 2회, 자원봉사 2회,8,697, 읽음,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,15,602, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 880, 자격증 3개, 인턴 1회, 자원봉사 2회,8,66, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,7,108, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,12,622, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 780, 토스 Level4,5,229, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 760, 자격증 5개, 인턴 1회, 수상 2회,6,921, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.17/4.5, 토익 785, 토스 Level6, 제2외국어 2개, 자격증 4개,26,857, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.56/4.5, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 수상 7회, 동아리 2회, 사회활동 4회,21,888, 읽음,,,
지방4년, IT융합응용공학과, 학점 3.71/4.5, 토스 Level6, 자격증 2개, 교내활동 1회, 자원봉사 2회,3,384, 읽음,,,,,,
수도권4년, 멀티미디어과학과, 학점 4.1/4.5, 토스 Level6, 자격증 1개,10,819, 읽음,,,,,,,,
대졸4년, 인문학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 인턴 1회,5,750, 읽음,,,,,,,
수도권4년, 서어서문학과, 학점 3.6/4.5, 토익 890, 자격증 1개, 자원봉사 1회,9,493, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,4,2, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 885, 자격증 1개, 인턴 1회,3,1, 읽음,,,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 865, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,21,403, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.14/4.5, 토익 695, 자격증 1개, 수상 2회, 자원봉사 1회,15,275, 읽음,,,,,,
지방4년, 멀티미디어학과, 학점 4/4.5,0, 수상 1회, 자원봉사 1회,7,323, 읽음,,,,,,,
수도권4년, 언론홍보학과, 학점 3.3/4.5, 토스 Level6, 자격증 2개, 해외경험 1회, 인턴 2회, 수상 5회,14,379, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5, 토스 Level5, 인턴 1회, 수상 3회, 자원봉사 2회,15,669, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,3,536, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 735, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 자원봉사 1회,5,98, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 885, 자격증 1개, 인턴 1회,5,655, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.61/4.5, 토익 720, 토스 Level5, 자격증 1개,93,447, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.75/4.5, 오픽 IM2,4,581, 읽음,,,,,,,,,
수도권4년, 사이버보안학과, 학점 4.18/4.5, 토익 895, 자격증 1개, 인턴 1회,23,497, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5,0,294, 읽음,,,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,8,724, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,20,554, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 765, 인턴 1회, 자원봉사 1회,3,234, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.8/4.5, 토스 Level6, 자격증 3개, 해외경험 2회,2,678, 읽음,,,,,,,
수도권4년, 수학과, 학점 3.46/4.5, 토익 890, 토스 Level5, 자격증 2개,31,785, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토스 Level5,13,244, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 자격증 4개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,2,663, 읽음,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 865, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,19,629, 읽음,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,18,693, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0, 해외경험 3회, 인턴 1회,20,290, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 자원봉사 1회,3,709, 읽음,,,,,,,
지방4년, 정보통신공학, 학점 3.53/4.5, 오픽 IM1, 자격증 4개, 수상 1회, 동아리 1회,18,185, 읽음,,,,,,
지방4년, 행정학, 학점 3.67/4.5, 토익 815, 자격증 5개, 인턴 1회, 수상 1회, 자원봉사 1회,46,533, 읽음,,,,,
수도권4년, 영문, 학점 3.5/4.5, 토익 910, 인턴 1회, 수상 2회,15,836, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.35/4.5, 토익 815, 제2외국어 2개, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 3회, 동아리 1회,27,431, 읽음,,,
지방4년, 정보통신공학, 학점 3.5/4.5,0,32,64, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.49/4.5, 토익 870, 토스 Level7, 해외경험 1회, 동아리 1회,10,142, 읽음,,,,,,
수도권4년, 소프트웨어공학, 학점 3.4/4.5, 토스 Level4, 자격증 1개, 수상 1회, 자원봉사 1회,20,128, 읽음,,,,,,
수도권4년, 미디어학, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 3개, 자원봉사 2회,6,854, 읽음,,,,,,
초대졸,컴퓨터학부, 학점 4.1/4.5,0, 인턴 2회, 자원봉사 2회,5,308, 읽음,,,,,,,
수도권4년, 경영학과, 학점 3.9/4.5, 토익 890, 오픽 AL, 인턴 2회, 수상 1회,9,265, 읽음,,,,,,
대학원,전기전자, 학점 3.85/4.5, 토스 Level6,19,910, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 3.31/4.5, 토익 760, 자격증 2개, 수상 3회,87,776, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.68/4.5, 토익 810, 토스 Level6, 자격증 3개, 해외경험 1회, 인턴 2회, 수상 1회, 교내활동 1회, 사회활동 1회, 자원봉사 2회,8,719, 읽음,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 765, 토스 Level5, 자격증 1개, 인턴 1회,13,291, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,4,222, 읽음,,,,,,
수도권4년,전기전자, 학점 3.32/4.5,0,647, 읽음,,,,,,,,,,
