학력,학과,학점,어학,,,,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.17/4.5, 토익 785, 토스 Level6, 제2외국어 2개, 자격증 4개,6,667, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 4.07/4.5, 토익 845, 교내활동 1회,19,455, 읽음,,,,,,,,
수도권4년, 미디어학, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 3개, 자원봉사 2회,12,193, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,10,26, 읽음,,,,,,,,
수도권4년, 기계공학과, 학점 3.5/4.5, 토익 780, 자격증 1개,6,578, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5,0,2,566, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.47/4.5, 오픽 IL, 인턴 1회, 수상 1회,40,7, 읽음,,,,,,,
지방4년, 소프트웨어공학, 학점 3.5/4.5, 토익 755, 토스 Level5, 자격증 1개, 수상 3회,12,589, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.67/4.5, 토익 700, 토스 Level6, 자격증 1개, 자원봉사 3회,18,362, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5, 토익 810, 토스 Level5, 자격증 2개, 인턴 1회, 수상 2회,6,289, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,5,303, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0, 자격증 4개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,2,779, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5,0, 인턴 1회, 수상 1회, 자원봉사 1회,12,188, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,5,337, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,9,440, 읽음,,,,,
지방4년,컴퓨터학부, 학점 3.86/4.3, 오픽 IL,20,325, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 자격증 1개, 인턴 1회,3,275, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0,5,648, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 630, 자격증 3개, 수상 1회, 자원봉사 3회,8,943, 읽음,,,,,,
수도권4년, 수학, 학점 3.5/4.5, 토익 955, 토스 Level7, 오픽 IH,46,101, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 765, 토스 Level5, 자격증 1개, 인턴 1회,20,78, 읽음,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,10,957, 읽음,,,,,,,
수도권4년,전기전자, 학점 3.44/4.5, 토익 900, 인턴 1회,8,157, 읽음,,,,,,,,
대학원,전기전자, 학점 3.31/4.5,0, 동아리 1회, 교내활동 1회, 자원봉사 1회,20,379, 읽음,,,,,,
대학원,전기전자, 학점 3.81/4.5, 토익 865, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,11,743, 읽음,,,,,
수도권4년,산업공학, 학점 3.4/4.5, 토익 790, 토스 Level6,21,991, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 830, 토스 Level6, 자격증 1개, 인턴 1회,7,119, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,7,243, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0,12,814, 읽음,,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.4/4.5, 토익 785, 자격증 2개,107,239, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,5,903, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 자격증 1개, 인턴 1회,7,754, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 900, 자격증 1개, 해외경험 1회, 인턴 1회, 자원봉사 2회,2,664, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,5,203, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.91/4.5, 토익 770, 토스 Level5, 자격증 5개, 인턴 1회, 수상 2회,47,201, 읽음,,,,,
수도권4년, 영어영문학, 학점 3.92/4.5, 토익 980, 토스 Level7, 제2외국어 1개, 자격증 1개, 해외경험 1회,10,935, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 1회,31,149, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 오픽 IM2, 자격증 4개, 해외경험 1회, 수상 2회, 자원봉사 2회,22,904, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5,0,18,698, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.1/4.5, 토익 795, 오픽 IL,7,273, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 해외경험 1회, 수상 2회, 자원봉사 1회,10,291, 읽음,,,,
수도권4년, 언론홍보학과, 학점 3.42/4.5, 토익 860, 자격증 2개, 인턴 3회, 수상 2회, 동아리 1회, 사회활동 1회,9,561, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.17/4.5, 토익 785, 토스 Level6, 제2외국어 2개, 자격증 4개,5,236, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 토스 Level6, 자격증 2개,12,738, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,6,34, 읽음,,,,,,,
수도권4년, 디지털미디어과, 학점 3.98/4.5, 토익 900, 토스 Level6, 제2외국어 1개, 자격증 1개, 해외경험 2회, 인턴 2회,8,418, 읽음,,,,
수도권4년, 정보통신공학, 학점 3.68/4.5, 토익 845, 토스 Level6, 자격증 2개, 수상 1회,15,596, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 오픽 IH, 자격증 3개, 인턴 1회,4,43, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 토익 825, 자격증 1개, 해외경험 1회,3,557, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,2,939, 읽음,,,,
고졸, 자격증 4개, 수상 3회,0, 교내활동 1회, 사회활동 1회,11,900, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 오픽 IH, 자격증 3개, 인턴 1회,3,68, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 765, 토스 Level5, 자격증 1개, 인턴 1회,4,87, 읽음,,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,5,493, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.7/4.5, 토익 820, 토스 Level6, 자격증 1개, 인턴 1회,7,547, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 830, 토스 Level6, 자격증 1개, 인턴 1회,12,811, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.81/4.5, 토익 860, 토스 Level5, 자격증 1개, 인턴 1회, 자원봉사 1회,12,367, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.89/4.5, 토익 890, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 2회, 수상 2회,3,651, 읽음,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5,0,4,80, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,5,974, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,5,342, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.17/4.5, 토익 785, 토스 Level6, 제2외국어 2개, 자격증 4개,17,516, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5,0,7,179, 읽음,,,,,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5,0, 자원봉사 2회,22,566, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 4.05/4.5, 토익 730, 오픽 IM2, 자격증 3개, 수상 2회, 자원봉사 1회,10,136, 읽음,,,,,
해외대학, SoftwareEngineering, 학점 3.8/4.5,0, 수상 1회, 자원봉사 1회,13,333, 읽음,,,,,,,
해외대학, Science in Biochemistry, 인턴 1회,0,18,792, 읽음,,,,,,,,,
수도권4년, 사이버보안학과, 학점 4.18/4.5, 토익 895, 자격증 1개, 인턴 1회,24,647, 읽음,,,,,,,
대졸4년, 정보통신공학, 학점 3.66/4.5, 토익 845, 토스 Level6, 자격증 2개, 수상 1회,3,5, 읽음,,,,,,
대학원,컴퓨터학부, 학점 4.44/4.5, 토익 765, 오픽 IM1, 자격증 2개, 수상 7회, 자원봉사 3회,33,35, 읽음,,,,,
수도권4년,산업공학, 학점 4.14/4.5, 토스 Level6, 동아리 1회,13,547, 읽음,,,,,,,,
수도권4년,산업공학, 학점 3.68/4.5, 토익 810, 토스 Level6, 자격증 3개, 해외경험 1회, 인턴 2회, 수상 1회, 교내활동 1회, 사회활동 1회, 자원봉사 2회,15,898, 읽음,
대졸4년, 인문학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 인턴 1회,5,291, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.2/4.5, 토스 Level7, 자격증 1개,5,99, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 715, 자격증 1개, 인턴 1회, 수상 1회, 자원봉사 1회,9,336, 읽음,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,31,304, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,3,594, 읽음,,,,,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,13,142, 읽음,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,8,760, 읽음,,,,,,
수도권4년, 경영정보, 학점 3.5/4.5, 토익 730, 토스 Level6, 자격증 1개, 인턴 1회, 자원봉사 1회,9,554, 읽음,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,15,258, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.5/4.5, 오픽 M1,5,216, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,22,705, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,34,105, 읽음,,,,,
대졸4년, 응용통계학과, 학점 3.78/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 1회, 사회활동 1회,15,950, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.92/4.5, 토익 700, 오픽 IM1, 자격증 1개, 해외경험 1회, 인턴 1회, 자원봉사 1회,8,97, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.83/4.5, 토익 945, 오픽 IM1, 자격증 3개, 수상 3회, 동아리 1회, 교내활동 1회,26,247, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 토스 Level6, 수상 1회,16,506, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 830, 토스 Level6, 자격증 1개, 인턴 1회,7,130, 읽음,,,,,,
수도권4년,전기전자, 학점 3.4/4.5, 토스 Level6, 오픽 IH,32,46, 읽음,,,,,,,,
수도권4년, 영어영문학, 학점 3.92/4.5, 토익 965, 오픽 IH, 자격증 1개, 해외경험 1회, 동아리 1회, 자원봉사 1회,10,743, 읽음,,,,
수도권4년, 영문, 학점 3.5/4.5, 토익 910, 인턴 1회, 수상 2회,25,523, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5, 토익 810, 토스 Level5, 자격증 2개, 인턴 1회, 수상 1회,6,160, 읽음,,,,,
수도권4년, 영어영문학, 학점 3.92/4.5, 토익 965, 오픽 IH, 자격증 1개, 해외경험 1회, 동아리 1회, 자원봉사 1회,6,528, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토스 Level5,2,444, 읽음,,,,,,,,,
대학원,컴퓨터학부, 학점 4.31/4.5, 오픽 IL, 자격증 1개, 해외경험 1회, 수상 1회, 동아리 1회, 교내활동 1회, 사회활동 1회,23,561, 읽음,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5, 토익 865, 자격증 4개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,8,887, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.1/4.5, 토익 705, 자격증 1개, 인턴 1회,6,47, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.3/4.5,0,10,255, 읽음,,,,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,16,500, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 930, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,13,711, 읽음,,,
초대졸,컴퓨터학부, 학점 4.1/4.5,0, 인턴 1회, 자원봉사 2회,4,583, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 4/4.5,0,10,246, 읽음,,,,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 760, 자격증 5개, 인턴 1회, 수상 2회,12,383, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 3.3/4.5, 토익 930, 오픽 AL, 해외경험 2회, 인턴 1회, 자원봉사 1회,3,60, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,14,85, 읽음,,,,,
수도권4년, 경영정보, 학점 3.5/4.5, 토익 730, 토스 Level6, 자격증 1개, 인턴 1회, 자원봉사 1회,23,601, 읽음,,,,,
대졸4년, 인문학부, 학점 3.5/4.5, 토익 910, 자격증 1개, 인턴 1회,9,832, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 825, 오픽 IH, 자격증 1개, 인턴 1회,2,751, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0, 해외경험 3회, 인턴 1회,16,745, 읽음,,,,,,,
지방4년, 정보통신공학, 학점 3.44/4.5, 토익 845, 오픽 IM2, 자격증 3개,8,390, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 830, 토스 Level6, 자격증 1개, 인턴 1회,26,609, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 토익 845, 토스 Level6, 인턴 1회,9,390, 읽음,,,,,,,
대졸4년,컴퓨터학부, 학점 3.74/4.5, 토익 850, 토스 Level6, 자격증 1개, 인턴 2회,18,417, 읽음,,,,,,
지방4년, 제어계측공학과, 학점 3.64/4.5, 토익 820, 자격증 1개, 해외경험 1회,13,424, 읽음,,,,,,,
수도권4년,산업공학, 학점 3.68/4.5, 토익 810, 토스 Level6, 자격증 3개, 해외경험 1회, 인턴 2회, 수상 1회, 교내활동 1회, 사회활동 1회, 자원봉사 2회,8,517, 읽음,
수도권4년, 정보통신공학, 학점 3.5/4.5,0,544, 읽음,,,,,,,,,,
지방4년, 소프트웨어공학, 학점 3.2/4.5, 오픽 IM1, 자격증 2개, 교내활동 1회,35,195, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.85/4.5, 토익 770, 토스 Level5, 자격증 5개, 수상 2회,13,37, 읽음,,,,,,
지방4년, 정보통신공학, 학점 3.1/4.5, 토익 680, 오픽 IL, 자격증 2개,22,516, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.2/4.5,0,246, 읽음,,,,,,,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개, 인턴 1회,6,21, 읽음,,,,,,
대학원,전기전자, 학점 4.36/4.5, 토스 Level5, 오픽 IL, 제2외국어 2개, 자격증 1개, 동아리 1회, 자원봉사 1회,6,878, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.13/4.5, 토익 690, 토스 Level5, 오픽 IM2, 자격증 1개, 인턴 1회,32,962, 읽음,,,,,
지방4년,컴퓨터학부, 학점 4.2/4.5, 토익 930, 오픽 IH, 자격증 1개, 해외경험 1회, 인턴 1회, 수상 1회, 자원봉사 1회,23,777, 읽음,,,
수도권4년,컴퓨터학부, 학점 3.6/4.5, 토익 900, 자격증 2개, 수상 1회,23,82, 읽음,,,,,,,
대졸4년, 소프트웨어공학, 학점 3.4/4.5,0, 수상 1회, 자원봉사 1회,14,272, 읽음,,,,,,,
수도권4년, 미디어학과, 학점 3.58/4.5, 토스 Level6, 자격증 1개, 해외경험 1회, 인턴 1회,22,252, 읽음,,,,,,
지방4년,컴퓨터학부, 학점 3.8/4.5, 토익 780, 자격증 3개,10,227, 읽음,,,,,,,,
수도권4년, 화학공학.고분자공학과, 학점 3.8/4.5, 오픽 IH, 자격증 1개,30,816, 읽음,,,,,,,,
수도권4년,산업공학, 학점 3.47/4.5, 토익 755, 오픽 IM2, 자격증 3개, 인턴 1회, 자원봉사 3회,11,816, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.2/4.5, 오픽 IH, 자격증 2개, 인턴 1회,5,662, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 765, 인턴 1회, 자원봉사 1회,3,489, 읽음,,,,,,,
지방4년, 수학과, 학점 3.4/4.5, 토익 730, 오픽 IL, 자격증 1개, 인턴 1회, 사회활동 1회,9,384, 읽음,,,,,
수도권4년, 정보통신공학, 학점 3.57/4.5, 토익 810, 토스 Level5, 자격증 2개, 인턴 1회, 수상 1회,5,658, 읽음,,,,,
수도권4년,전기전자, 학점 3.9/4.5, 토스 Level6, 자격증 2개, 인턴 1회, 수상 2회, 동아리 2회,29,653, 읽음,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,6,791, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.9/4.5, 토익 940, 자격증 1개,3,647, 읽음,,,,,,,,
수도권4년, 정보통신공학, 학점 3.2/4.5,0, 인턴 2회, 수상 2회,11,852, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 845, 교내활동 1회,36,1, 읽음,,,,,,,,
지방4년,컴퓨터학부, 학점 3.2/4.5,0, 인턴 2회, 수상 1회,15,133, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 3.3/4.5,0, 해외경험 3회, 인턴 1회,3,40, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.6/4.5, 토익 870, 토스 Level6, 오픽 IH, 자격증 2개, 해외경험 1회, 인턴 1회,8,953, 읽음,,,,
수도권4년, 정보통신공학, 학점 4.02/4.5, 토익 810, 토스 Level6, 자격증 3개,8,609, 읽음,,,,,,,
대학원, 휴먼ICT융합학과, 학점 4.07/4.5, 오픽 IM2, 자격증 5개, 인턴 2회, 수상 2회,37,826, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 2.7/4.5,0, 자원봉사 2회,5,181, 읽음,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.83/4.5, 토익 945, 오픽 IM1, 자격증 3개, 수상 3회, 동아리 1회, 교내활동 1회,56,428, 읽음,,,,
수도권4년,컴퓨터학부, 학점 3.07/4.5,0, 인턴 1회, 동아리 1회,9,410, 읽음,,,,,,,
수도권4년, 글로벌통상학과, 학점 3.88/4.5,0,968, 읽음,,,,,,,,,,
수도권4년,컴퓨터학부, 학점 3.4/4.5, 토익 885, 자격증 1개, 수상 1회,3,889, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4/4.5, 토익 815, 토스 Level6, 자격증 3개,4,712, 읽음,,,,,,,
수도권4년,컴퓨터학부, 학점 4.1/4.5, 토익 630, 자격증 3개, 수상 1회, 자원봉사 3회,5,705, 읽음,,,,,,
수도권4년, 정보통신공학, 학점 2.92/4.5,0, 사회활동 1회, 자원봉사 2회,23,926, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.2/4.5,0, 인턴 2회, 수상 2회,7,269, 읽음,,,,,,,
수도권4년, 정보통신공학, 학점 3.92/4.5, 토익 785, 토스 Level6, 자격증 3개, 해외경험 2회, 수상 1회, 동아리 1회,21,92, 읽음,,,,
지방4년,컴퓨터학부, 학점 4.12/4.5,0, 인턴 1회,8,316, 읽음,,,,,,,,
대졸4년,컴퓨터학부, 학점 3.01/4.5, 토익 840, 오픽 IH, 자격증 1개,7,65, 읽음,,,,,,,
대학원,컴퓨터학부, 학점 3.8/4.5,0,37, 읽음,,,,,,,,,,
지방4년,컴퓨터학부, 학점 4.17/4.5, 토익 785, 토스 Level6, 제2외국어 2개, 자격증 4개,13,720, 읽음,,,,,,
수도권4년,컴퓨터학부, 학점 3.7/4.5, 토익 735, 오픽 IH, 자격증 4개, 해외경험 1회, 인턴 1회, 자원봉사 1회,5,821, 읽음,,,,
초대졸,컴퓨터학부, 학점 4/4.5, 토익 805, 토스 Level6, 자격증 5개,13,63, 읽음,,,,,,,
지방4년,컴퓨터학부, 학점 3.3/4.5,0,21,688, 읽음,,,,,,,,,
